state,player,mcts_distribution
"[1, 2, 3, 4]",1,"[('1000', 0.24719101123595505), ('0100', 0.06741573033707865), ('0200', 0.19101123595505617), ('0010', 0.0449438202247191), ('0020', 0.02247191011235955), ('0030', 0.23595505617977527), ('0001', 0.0449438202247191), ('0002', 0.02247191011235955), ('0003', 0.02247191011235955), ('0004', 0.10112359550561797)]"
"[0, 2, 3, 4]",-1,"[('0100', 0.14285714285714285), ('0200', 0.031746031746031744), ('0010', 0.1111111111111111), ('0020', 0.1111111111111111), ('0030', 0.031746031746031744), ('0001', 0.031746031746031744), ('0002', 0.19047619047619047), ('0003', 0.14285714285714285), ('0004', 0.20634920634920634)]"
"[0, 2, 3, 0]",1,"[('0100', 0.14285714285714285), ('0200', 0.42857142857142855), ('0010', 0.14285714285714285), ('0020', 0.14285714285714285), ('0030', 0.14285714285714285)]"
"[1, 2, 3, 4]",1,"[('1000', 0.11538461538461539), ('0100', 0.11538461538461539), ('0200', 0.125), ('0010', 0.038461538461538464), ('0020', 0.18269230769230768), ('0030', 0.17307692307692307), ('0001', 0.11538461538461539), ('0002', 0.0673076923076923), ('0003', 0.019230769230769232), ('0004', 0.04807692307692308)]"
"[1, 2, 1, 4]",-1,"[('1000', 0.04040404040404041), ('0100', 0.04040404040404041), ('0200', 0.13131313131313133), ('0010', 0.13131313131313133), ('0001', 0.06060606060606061), ('0002', 0.494949494949495), ('0003', 0.020202020202020204), ('0004', 0.08080808080808081)]"
"[1, 2, 1, 2]",1,"[('1000', 0.16), ('0100', 0.2), ('0200', 0.16), ('0010', 0.24), ('0001', 0.04), ('0002', 0.2)]"
"[1, 2, 0, 2]",-1,"[('1000', 0.13636363636363635), ('0100', 0.2727272727272727), ('0200', 0.18181818181818182), ('0001', 0.36363636363636365), ('0002', 0.045454545454545456)]"
"[1, 2, 0, 1]",1,"[('1000', 0.16666666666666666), ('0100', 0.5555555555555556), ('0200', 0.05555555555555555), ('0001', 0.2222222222222222)]"
"[1, 1, 0, 1]",-1,"[('1000', 0.3333333333333333), ('0100', 0.3333333333333333), ('0001', 0.3333333333333333)]"
"[0, 1, 0, 1]",1,"[('0100', 0.5), ('0001', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.07142857142857142), ('0100', 0.038461538461538464), ('0200', 0.10989010989010989), ('0010', 0.054945054945054944), ('0020', 0.08241758241758242), ('0030', 0.14285714285714285), ('0001', 0.17032967032967034), ('0002', 0.1813186813186813), ('0003', 0.04395604395604396), ('0004', 0.1043956043956044)]"
"[1, 2, 3, 2]",-1,"[('1000', 0.09547738693467336), ('0100', 0.01507537688442211), ('0200', 0.11557788944723618), ('0010', 0.2613065326633166), ('0020', 0.1407035175879397), ('0030', 0.15577889447236182), ('0001', 0.20100502512562815), ('0002', 0.01507537688442211)]"
"[1, 2, 2, 2]",1,"[('1000', 0.03636363636363636), ('0100', 0.2), ('0200', 0.09090909090909091), ('0010', 0.34545454545454546), ('0020', 0.03636363636363636), ('0001', 0.07272727272727272), ('0002', 0.21818181818181817)]"
"[1, 2, 1, 2]",-1,"[('1000', 0.23404255319148937), ('0100', 0.2553191489361702), ('0200', 0.0425531914893617), ('0010', 0.0851063829787234), ('0001', 0.1702127659574468), ('0002', 0.2127659574468085)]"
"[1, 1, 1, 2]",1,"[('1000', 0.2), ('0100', 0.2), ('0010', 0.05), ('0001', 0.05), ('0002', 0.5)]"
"[1, 1, 1, 0]",-1,"[('1000', 0.3333333333333333), ('0100', 0.3333333333333333), ('0010', 0.3333333333333333)]"
"[0, 1, 1, 0]",1,"[('0100', 0.5), ('0010', 0.5)]"
"[1, 2, 3, 4]",1,"[('1000', 0.08196721311475409), ('0100', 0.14754098360655737), ('0200', 0.21311475409836064), ('0010', 0.04918032786885246), ('0020', 0.04918032786885246), ('0030', 0.19672131147540983), ('0001', 0.08196721311475409), ('0002', 0.03278688524590164), ('0003', 0.09836065573770492), ('0004', 0.04918032786885246)]"
"[1, 0, 3, 4]",-1,"[('1000', 0.5384615384615384), ('0010', 0.038461538461538464), ('0020', 0.038461538461538464), ('0030', 0.038461538461538464), ('0001', 0.038461538461538464), ('0002', 0.23076923076923078), ('0003', 0.038461538461538464), ('0004', 0.038461538461538464)]"
"[0, 0, 3, 4]",1,"[('0010', 0.06666666666666667), ('0020', 0.4), ('0030', 0.26666666666666666), ('0001', 0.06666666666666667), ('0002', 0.06666666666666667), ('0003', 0.06666666666666667), ('0004', 0.06666666666666667)]"
"[0, 0, 1, 4]",-1,"[('0010', 0.14285714285714285), ('0001', 0.2857142857142857), ('0002', 0.2857142857142857), ('0003', 0.14285714285714285), ('0004', 0.14285714285714285)]"
"[0, 0, 1, 3]",1,"[('0010', 0.4), ('0001', 0.2), ('0002', 0.2), ('0003', 0.2)]"
